# victims.txt — dinh dang: 0xAddress,min_swap_bnb
# Dong bat dau bang # la comment, bi bo qua.
# min_swap_bnb la so BNB toi thieu (vd 0.01), code tu quy doi sang wei (10^18).
# Trung address: dong sau thang. Dong loi (sai dinh dang) bi log va bo qua,
# khong lam crash chuong trinh.
0xddfefca2dc3fd0305273877c5795b1f24084d91b,0.05
0x3751bcccd71b2e602ecd38ec1245fd94436ae10d,0.05
0xb780cfd095b83681a30cc72b3c2f42b21e71f389,0.05
0xe3767e9bdd8eada7097c47505357bbe5bcd6ea98,0.05
0x83a6c49e7125d39a257750f04e5cfd5a568b6352,0.05
0x3057eabc21a8ef641e03261a30b7da27e645022f,0.05
0x9df1c744c224c0b8a6ff5bd7498ff8a4f892f22e,0.05
0xc28465ce0ad16076d7b96de494a2efe59b446405,0.05
0x31c1710a1aa1ea5c04a1113c3949e1369a05172f,0.05
0x345fa30dc917eb69149724648faf3633ddb3cbef,0.05
0x3def9fb84a0dfafb2f1ea3887dced9bc9428175a,0.05
0xe06673d21b3eca6da4319b711447f081c7d01eda,0.05
0x9eb58294256fc599dc00c425c72225478947834a,0.05
