token	symbol	route	borrow_BNB	net_paper	net_quoter_log	net_quoter_now	profit_revm	lech_pct_vs_quoter_now	hop1	hop2	hop3_wbnb	revert	block	tx_hash	flash	gate
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82	Cake	v3_v3	20.000000	0.319424	0.316064	-0.179687	-0.179687	0.0000	5951717958786851307760	14476427969477887440537	19830673469829505051	no	122450112	0x7ba67696c2fcd9c49cf921c5dd52097bedf24ce4c62d0c1a0cf854d9c928cc1d	infinity_vault	GATE_NO_SIM
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	2.585473	0.013411	0.013411	-0.049150	-0.049150	0.0000	83934529616754722608221	1856835760200432861333	2545624192049708604	no	122443922	0x657218fc2621df92676029346db880a163276d26d4baf15e88caeaf7d5990f53	infinity_vault	GATE_NO_SIM
