# discover_multivenue — CHUA VET. Chu chay vet_bsc_token roi dien vetted YYYY-MM-DD.
0xf3c35a84ef311c847ce4da33c3c31c57770b3760 # POFD | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=USDT v3= uni=USDT@10000
0x85eac5ac2f758618dfa09bdbe0cf174e7d574d5b # TRX | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
0x2170ed0880ac9a755fd29b2688956bd959f933f8 # ETH | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB+USDT v3=WBNB@100+WBNB@500+WBNB@2500+USDT@100+USDT@500+USDT@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x44448aca77cc60e77c90b6a60851b1bb843cc2ee # 奶龙 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@10000
0xeb2b7d5691878627eff20492ca7c9a71228d931d # CREPE | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
0x198dba421a7db566a90da5de7901abe3443b4444 # 富贵 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@10000+USDT@10000
0xc269d59a0d608ea0bd672f2f4616c372d8554444 # ClipX | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
0x92aa03137385f18539301349dcfc9ebc923ffb10 # SKYAI | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000+USDT@100 uni=WBNB@3000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x6d5ad1592ed9d6d1df9b93c793ab759573ed6714 # Broccoli | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000 uni=WBNB@3000+WBNB@10000+USDT@100+USDT@10000
0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63 # XVS | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x23ce9e926048273ef83be0a3a8ba9cb6d45cd978 # DAR | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@10000
0x0a43fc31a73013089df59194872ecae4cae14444 # 4 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000+USDT@2500 uni=WBNB@100+WBNB@3000+WBNB@10000+USDT@100+USDT@3000+USDT@10000
0xc9849e6fdb743d08faee3e34dd2d1bc69ea11a51 # BUNNY | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@100+WBNB@10000+USDT@10000
0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c # BTCB | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB+USDT v3=WBNB@100+WBNB@500+WBNB@2500+USDT@100+USDT@500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd # LINK | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500+USDT@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
0x2859e4544c4bb03966803b044a93563bd2d0dd4d # SHIB | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3=WBNB@2500 uni=WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0xd723f2aea80d1620864ac059f34f168fa223b2f1,0x55d398326f99059ff775485246999027b3197955 # KXG | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=USDT v3= uni=USDT@10000
0xaec945e04baf28b135fa7c640f624f8d90f1c3a6 # C98 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
0xaa036928c9c0df07d525b55ea8ee690bb5a628c1,0x55d398326f99059ff775485246999027b3197955 # EVAA | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3=USDT@100 uni=WBNB@10000+USDT@500+USDT@3000+USDT@10000
0x4444bd221671f322671bfdb3f33a653d2b7605c8 # 0x4444 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=USDT@10000
0x6894cde390a3f51155ea41ed24a33a4827d3063d # CAT | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@100 uni=WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0xaaa9214f675316182eaa21c85f0ca99160cc3aaa # QANX | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@10000
0x63d9b8830255ba8ceaf3958e6f2906e52b424444 # 噜噜 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=
